ID,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,SDSS,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,angDist
5095,5.88017E+17,34:09.3,+44:30:05.5,55,0.418,0.109,0.327,0.055,0.036,0.055,0.491,0.412,0.497,0,0,1,J103409.24+443005.4,158.538512,44.501519,0.064,0.051,20,,3,,1010021010,2003.1768,3,0.05333,17.032,0.017,15.245,0.002,14.387,0.002,13.98,0.002,13.68,0.004,0.082536
5096,5.8774E+17,34:40.8,+26:20:28.9,33,0.879,0.03,0.03,0.061,0,0,0.121,0.725,0.275,0,1,0,J143440.77+262028.8,218.669909,26.341349,0.051,0.048,77,,3,,1010000010,2004.3897,3,0.09618,18.851,0.04,16.835,0.004,15.933,0.003,15.513,0.004,15.197,0.007,0.050109
5097,5.87733E+17,43:19.1,+09:33:39.4,36,0.139,0.667,0.028,0.167,0,0,0.861,0.051,0.949,1,0,0,J124319.13+093339.4,190.829743,9.56095,0.187,0.126,179,,3,,90020010,2002.1939,3,0.05254,18.343,0.037,17.015,0.007,16.405,0.007,16.109,0.005,15.869,0.018,0.032244
5098,5.87739E+17,12:18.9,+27:55:37.1,31,0.387,0.387,0.032,0.161,0.032,0,0.581,0.221,0.743,1,0,0,J151218.87+275537.0,228.078658,27.926962,0.056,0.049,67,,3,,1010000000,2004.2884,3,0.06853,18.9,0.034,17.432,0.005,16.702,0.004,16.338,0.005,16.084,0.009,0.04573
5099,5.88011E+17,41:48.0,+04:40:36.2,50,0.64,0.02,0,0.28,0.06,0,0.3,0.385,0.536,0,0,1,J114148.04+044036.2,175.45017,4.676728,0.053,0.05,0,,3,,9.0001E+11,2001.2899,2,0.0992,19.956,0.082,18.027,0.009,17.034,0.006,16.596,0.006,16.219,0.014,0.024097
5100,5.8773E+17,07:36.9,+30:13:18.8,31,0.452,0.032,0.032,0.452,0.032,0,0.516,0.144,0.812,1,0,0,J170736.83+301318.8,256.903497,30.221902,0.063,0.063,135,,3,,890000078,2001.3919,3,0.09016,20.372,0.083,18.66,0.009,17.695,0.006,17.197,0.006,16.824,0.013,0.146814
5101,5.87728E+17,59:38.0,-08:23:07.9,54,0.074,0,0.037,0.889,0,0,0.926,0.062,0.938,1,0,0,J015938.04-082307.9,29.908509,-8.385534,0.059,0.058,0,,3,,4.00089E+12,2000.9066,2,0.079,19.116,0.07,17.288,0.007,16.305,0.005,15.759,0.005,15.363,0.011,0.039251
5102,5.87739E+17,03:29.6,+30:33:19.4,40,0.1,0.15,0.35,0.325,0.05,0.025,0.825,0.03,0.89,1,0,0,J150329.57+303319.3,225.873224,30.555381,0.202,0.12,157,,3,,1010021010,2004.2093,2,0.08177,19.138,0.075,17.741,0.013,17.127,0.015,16.765,0.009,16.56,0.035,0.056424
5103,5.87729E+17,56:38.2,+47:16:36.6,72,0.667,0.028,0,0.111,0.194,0,0.139,0.479,0.273,0,0,1,J085638.18+471636.5,134.159105,47.276813,0.066,0.059,41,,3,,10000000,2001.2872,3,0.09155,19.157,0.033,18.054,0.01,17.482,0.008,17.086,0.007,16.921,0.015,0.090327
5104,5.88017E+17,05:29.6,+47:03:38.1,28,0.571,0.071,0,0.25,0.107,0,0.321,0.427,0.455,0,0,1,J120529.56+470338.0,181.373194,47.060581,0.066,0.065,0,,3,,1010000010,2003.1769,3,0.07429,19.847,0.056,17.937,0.006,17.03,0.005,16.623,0.005,16.276,0.01,0.036217
5105,5.87726E+17,27:59.6,+02:59:39.6,37,0.054,0.027,0.081,0.73,0.108,0,0.838,0.014,0.874,1,0,0,J132759.60+025939.5,201.998346,2.994331,0.159,0.14,90,,3,,190021110,2000.3432,3,0.02259,19.377,0.108,17.978,0.014,17.503,0.014,17.326,0.019,17.22,0.059,0.046624
5106,5.87739E+17,28:59.6,+37:42:08.4,26,0.923,0,0,0,0.077,0,0,0.923,0,0,1,0,J132859.59+374208.3,202.248318,37.702325,0.04,0.038,174,,3,,1010021010,2004.0753,3,0.05676,18.876,0.026,16.923,0.004,16.057,0.003,15.628,0.003,15.313,0.006,0.053114
